id_sus,uf,municipio,slug
510130,mt,arenapolis,mt-arenapolis
520235,go,arenopolis,go-arenopolis
240120,rn,ares,rn-ares
310440,mg,argirita,mg-argirita
310445,mg,aricanduva,mg-aricanduva
310450,mg,arinos,mg-arinos
510140,mt,aripuana,mt-aripuana
110002,ro,ariquemes,ro-ariquemes
350370,sp,ariranha,sp-ariranha
410185,pr,ariranha-do-ivai,pr-ariranha-do-ivai
330023,rj,armacao-dos-buzios,rj-armacao-dos-buzios
420150,sc,armazem,sc-armazem
230150,ce,arneiroz,ce-arneiroz
220090,pi,aroazes,pi-aroazes
250130,pb,aroeiras,pb-aroeiras
220095,pi,aroeiras-do-itaim,pi-aroeiras-do-itaim
220100,pi,arraial,pi-arraial
330025,rj,arraial-do-cabo,rj-arraial-do-cabo
170240,to,arraias,to-arraias
430100,rs,arroio-do-meio,rs-arroio-do-meio
430107,rs,arroio-do-padre,rs-arroio-do-padre
430105,rs,arroio-do-sal,rs-arroio-do-sal
430110,rs,arroio-dos-ratos,rs-arroio-dos-ratos
430120,rs,arroio-do-tigre,rs-arroio-do-tigre
430130,rs,arroio-grande,rs-arroio-grande
420160,sc,arroio-trinta,sc-arroio-trinta
350380,sp,artur-nogueira,sp-artur-nogueira
520250,go,aruana,go-aruana
350390,sp,aruja,sp-aruja
420165,sc,arvoredo,sc-arvoredo
430140,rs,arvorezinha,rs-arvorezinha
420170,sc,ascurra,sc-ascurra
350395,sp,aspasia,sp-aspasia
410190,pr,assai,pr-assai
230160,ce,assare,ce-assare
350400,sp,assis,sp-assis
120005,ac,assis-brasil,ac-assis-brasil
410200,pr,assis-chateaubriand,pr-assis-chateaubriand
250135,pb,assuncao,pb-assuncao
220105,pi,assuncao-do-piaui,pi-assuncao-do-piaui
310460,mg,astolfo-dutra,mg-astolfo-dutra
410210,pr,astorga,pr-astorga
270040,al,atalaia,al-atalaia
410220,pr,atalaia,pr-atalaia
130020,am,atalaia-do-norte,am-atalaia-do-norte
420180,sc,atalanta,sc-atalanta
310470,mg,ataleia,mg-ataleia
350410,sp,atibaia,sp-atibaia
320070,es,atilio-vivacqua,es-atilio-vivacqua
170255,to,augustinopolis,to-augustinopolis
150090,pa,augusto-correa,pa-augusto-correa
310480,mg,augusto-de-lima,mg-augusto-de-lima
430150,rs,augusto-pestana,rs-augusto-pestana
430155,rs,aurea,rs-aurea
290240,ba,aurelino-leal,ba-aurelino-leal
350420,sp,auriflama,sp-auriflama
520260,go,aurilandia,go-aurilandia
420190,sc,aurora,sc-aurora
230170,ce,aurora,ce-aurora
